File Name,varATS-IM-25-039-03-01-2025.pcrd,,,,,,
Created By User,admin,,,,,,
Notes,,,,,,,
ID,,,,,,,
Run Started,01/03/2025 07:36:39 UTC,,,,,,
Run Ended,01/03/2025 09:58:33 UTC,,,,,,
Sample Vol,25,,,,,,
Lid Temp,105,,,,,,
Protocol File Name,CFX_RT_qPCR_IMMERSE.prcl,,,,,,
Plate Setup File Name,varATS-IM-25-039.pltd,,,,,,
Base Serial Number,CT063088,,,,,,
Optical Head Serial Number,787BR02086,,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,,
,,,,,,,
Well group,All Wells,,,,,,
Amplification step,4,,,,,,
Melt step,,,,,,,
,,,,,,,
,,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean
A01,FAM,,Std-1,8076959997,25.2866168380358,10000,24.7740989760503
A02,FAM,,Std-1,8076959997,24.2615811140648,10000,24.7740989760503
A03,FAM,,Unkn,8076948762,24.660333492697,10140.3509913909,24.660333492697
A04,FAM,,Unkn,8076948795,26.0733077627413,4159.11292646618,26.0733077627413
A05,FAM,,Unkn,8076949388,21.6267201947487,68713.5825090043,21.6267201947487
A06,FAM,,Unkn,8076948631,22.5104153901145,39352.6807737188,22.5104153901145
A07,FAM,,Unkn,8076948857,21.0592042111175,98288.053073269,21.0592042111175
A08,FAM,,Unkn,8076949504,34.4246999269037,21.4450033515218,34.4246999269037
A09,FAM,,Unkn,8076949250,29.6354166345974,439.78632832024,29.6354166345974
A10,FAM,,Unkn,8076949449,29.1877075008405,583.285921060529,29.1877075008405
A11,FAM,,Unkn,8076948981,24.1770878626955,13753.9415665116,24.1770878626955
A12,FAM,,Unkn,8076948836,20.0197519072224,189336.842947638,20.0197519072224
B01,FAM,,Std-2,8076959556,28.4587636847387,1000,28.2507435652637
B02,FAM,,Std-2,8076959556,28.0427234457888,1000,28.2507435652637
B03,FAM,,Unkn,8076949508,29.6659483849429,431.398115178287,29.6659483849429
B04,FAM,,Unkn,8076948923,26.0012461471031,4352.51582273874,26.0012461471031
B05,FAM,,Unkn,8076949358,22.6871252957341,35202.1062317441,22.6871252957341
B06,FAM,,Unkn,8076948815,24.2735803797587,12941.8164759104,24.2735803797587
B07,FAM,,Unkn,8076949316,29.3728948583512,518.983576580807,29.3728948583512
B08,FAM,,Unkn,8076948870,23.3970289700905,22496.0686172294,23.3970289700905
B09,FAM,,Unkn,8076949279,28.0200779669687,1218.22396750364,28.0200779669687
B10,FAM,,Unkn,8076948732,19.1138811973881,335257.019811031,19.1138811973881
B11,FAM,,Unkn,8076949382,20.7449731862322,119833.211790627,20.7449731862322
B12,FAM,,Unkn,8076949412,23.9575185866517,15796.9484678257,23.9575185866517
C01,FAM,,Std-3,8076959747,32.092577538555,100,31.9450732751926
C02,FAM,,Std-3,8076959747,31.7975690118302,100,31.9450732751926
C03,FAM,,Unkn,8076949043,25.2128128860752,7156.71594508784,25.2128128860752
C04,FAM,,Unkn,8076949431,25.4785721284372,6052.22491786611,25.4785721284372
C05,FAM,,Unkn,8076949457,25.087026942198,7747.64991400548,25.087026942198
C06,FAM,,Unkn,8076949031,21.0122523629705,101242.328973884,21.0122523629705
C07,FAM,,Unkn,8076949252,23.5190941610098,20829.058304593,23.5190941610098
C08,FAM,,Unkn,8076949186,27.168650211175,2084.28198670057,27.168650211175
C09,FAM,,Unkn,8076949304,25.4789081523974,6050.94232050221,25.4789081523974
C10,FAM,,Unkn,8076949563,20.5373930117335,136596.346442687,20.5373930117335
C11,FAM,,Unkn,8076948695,21.0400610796748,99482.0118311798,21.0400610796748
C12,FAM,,Unkn,8076949086,33.9574457907113,28.7951800518854,33.9574457907113
D01,FAM,,Std-4,8076959953,35.8831515926292,10,35.591564210709
D02,FAM,,Std-4,8076959953,35.2999768287888,10,35.591564210709
D03,FAM,,Unkn,8076948848,23.3056132620035,23831.3085303211,23.3056132620035
D04,FAM,,Unkn,8076949192,31.6903144707936,120.323106942321,31.6903144707936
D05,FAM,,Unkn,8076949214,27.2529702471746,1976.32749416521,27.2529702471746
D06,FAM,,Unkn,8076949414,22.2265520568357,47068.7049001738,22.2265520568357
D07,FAM,,Unkn,8076948988,23.9912581720464,15464.3263681675,23.9912581720464
D08,FAM,,Unkn,8076949468,26.8339521839397,2574.18297458666,26.8339521839397
D09,FAM,,Unkn,8076949349,20.0027657389028,191376.279410194,20.0027657389028
D10,FAM,,Unkn,8076949318,19.4599966949947,269505.346042171,19.4599966949947
D11,FAM,,Unkn,8076949106,21.5767266501798,70914.850271973,21.5767266501798
D12,FAM,,Unkn,8076948723,22.5370486924907,38697.1279171164,22.5370486924907
E01,FAM,,Std-5,8076960023,39.2976473849338,1,39.3567045905445
E02,FAM,,Std-5,8076960023,39.4157617961552,1,39.3567045905445
E03,FAM,,Unkn,8076949071,33.0551981992041,50.8709767198132,33.0551981992041
E04,FAM,,Unkn,8076949485,29.4174390501795,504.605224733346,29.4174390501795
E05,FAM,,Unkn,8076948730,26.1374555625549,3994.19143908597,26.1374555625549
E06,FAM,,Unkn,8076948842,23.0298450409778,28358.8322039476,23.0298450409778
E07,FAM,,Unkn,8076949312,28.6860521788158,800.384369834915,28.6860521788158
E08,FAM,,Unkn,8076949168,24.8940481615711,8750.48553820984,24.8940481615711
E09,FAM,,Unkn,8076949068,22.5591009523429,38162.6053604785,22.5591009523429
E10,FAM,,Unkn,8076949027,28.4199957851344,946.626630156675,28.4199957851344
E11,FAM,,Unkn,8076949439,27.153050074585,2104.89181340355,27.153050074585
E12,FAM,,Unkn,8076949112,23.1939469842347,25570.3301284059,23.1939469842347
F01,FAM,,Neg Ctrl-6,Neg CTRL,NaN,NaN,0
F02,FAM,,Neg Ctrl-6,Neg CTRL,NaN,NaN,0
F03,FAM,,Unkn,8076949006,23.4295370717281,22039.5016615774,23.4295370717281
F04,FAM,,Unkn,8076948660,21.2082600875341,89468.5200696837,21.2082600875341
F05,FAM,,Unkn,8076948720,23.1181206763637,26822.9928267682,23.1181206763637
F06,FAM,,Unkn,8076949083,23.3587097666345,23046.4111399091,23.3587097666345
F07,FAM,,Unkn,8076948793,27.4787641063626,1713.98810066249,27.4787641063626
F08,FAM,,Unkn,8076948663,33.0118764259743,52.280182385936,33.0118764259743
F09,FAM,,Unkn,8076949510,25.2490481575194,6995.00370400578,25.2490481575194
F10,FAM,,Unkn,8076949013,29.356004369359,524.542137052509,29.356004369359
F11,FAM,,Unkn,8076948782,NaN,NaN,0
F12,FAM,,Unkn,8076948731,20.3757574533579,151256.999507744,20.3757574533579
G01,FAM,,Unkn,8076949520,22.253103278551,46287.0116884264,22.253103278551
G02,FAM,,Unkn,8076948657,27.0108352747185,2302.42928261081,27.0108352747185
G03,FAM,,Unkn,8076949065,27.020659310239,2288.20656972509,27.020659310239
G04,FAM,,Unkn,8076949306,23.1401862965308,26452.2645192993,23.1401862965308
G05,FAM,,Unkn,8076948683,26.5577178384818,3064.1325724757,26.5577178384818
G06,FAM,,Unkn,8076949523,28.3636188973753,980.893571506971,28.3636188973753
G07,FAM,,Unkn,8076948744,27.0629480592195,2227.97946610439,27.0629480592195
G08,FAM,,Unkn,8076949364,23.5298685089342,20687.9876008564,23.5298685089342
G09,FAM,,Unkn,8076949369,28.1683235061913,1109.47784483075,28.1683235061913
G10,FAM,,Unkn,8076949232,21.3248945208131,83122.939745171,21.3248945208131
G11,FAM,,Unkn,8076949416,26.2181402862577,3796.00805405655,26.2181402862577
G12,FAM,,Unkn,8076949090,21.7245830963624,64600.4090710606,21.7245830963624
H01,FAM,,Unkn,8076949081,25.9525937075009,4488.15236121737,25.9525937075009
H02,FAM,,Unkn,8076949487,24.0723285606214,14693.4443101959,24.0723285606214
H03,FAM,,Unkn,8076948728,26.0268285018627,4282.84791081522,26.0268285018627
H04,FAM,,Unkn,8076949047,27.9354897564468,1284.98530947013,27.9354897564468
H05,FAM,,Unkn,8076949094,21.6070992729359,69569.2463582655,21.6070992729359
H06,FAM,,Unkn,8076948827,26.6979025762079,2804.83372046659,26.6979025762079
H07,FAM,,Unkn,8076949564,25.1714328552478,7345.96579236886,25.1714328552478
H08,FAM,,Unkn,8076949446,22.6979964461142,34961.5552626969,22.6979964461142
H09,FAM,,Unkn,8076948985,23.5377427033759,20585.493844545,23.5377427033759
H10,FAM,,Unkn,8076948898,24.0593585274876,14814.1404530102,24.0593585274876
H11,FAM,,Unkn,8076949179,29.0867522940712,621.635609655792,29.0867522940712
H12,FAM,,Unkn,8076948843,25.2302014251654,7078.65235599087,25.2302014251654
